season_label,league,season_code,team,players_used,Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,url
2020-2021,ENG-Premier League,2021,Fulham,28,25.2,38,3420,90,100,38,418,85,306,110,19,203,0.74,27,53,-26,-0.68,/en/squads/fd962109/2020-2021/Fulham-Stats
2020-2021,ENG-Premier League,2021,Leeds United,23,26.1,38,3420,90,100,38,418,83,312,107,25,209,1.55,62,54,8,0.21,/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
2020-2021,ENG-Premier League,2021,Leicester City,27,26.5,38,3420,90,100,38,418,85,320,99,22,216,1.74,68,50,18,0.47,/en/squads/a2d435b3/2020-2021/Leicester-City-Stats
2020-2021,ENG-Premier League,2021,Liverpool,28,26.8,38,3420,90,100,38,418,85,314,104,19,212,1.82,68,42,26,0.68,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
2020-2021,ENG-Premier League,2021,Manchester City,24,26.1,38,3420,90,100,38,418,86,339,77,22,240,2.26,83,32,51,1.34,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
2020-2021,ENG-Premier League,2021,Manchester Utd,29,25.6,38,3420,90,100,38,418,86,318,99,18,219,1.95,73,44,29,0.76,/en/squads/19538871/2020-2021/Manchester-United-Stats
2020-2021,ENG-Premier League,2021,Newcastle United,27,27.1,38,3420,90,100,38,418,85,306,109,19,209,1.18,46,62,-16,-0.42,/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats
2020-2021,ENG-Premier League,2021,Sheffield United,27,26.7,38,3420,90,100,38,418,83,315,103,25,198,0.61,20,63,-43,-1.13,/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
2020-2021,ENG-Premier League,2021,Southampton,29,26.6,38,3420,90,100,38,418,85,314,101,19,215,1.13,47,68,-21,-0.55,/en/squads/33c895d4/2020-2021/Southampton-Stats
2020-2021,ENG-Premier League,2021,Tottenham Hotspur,24,27.2,38,3420,90,100,38,418,85,305,112,20,204,1.63,68,45,23,0.61,/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
2020-2021,ENG-Premier League,2021,West Brom,30,26.4,38,3420,90,100,38,418,84,311,104,22,211,0.68,35,76,-41,-1.08,/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats
2020-2021,ENG-Premier League,2021,West Ham United,24,27.8,38,3420,90,100,38,418,86,316,99,17,214,1.71,62,47,15,0.39,/en/squads/7c21e445/2020-2021/West-Ham-United-Stats
2020-2021,ENG-Premier League,2021,Wolves,27,26.3,38,3420,90,100,38,418,85,313,106,19,204,1.18,36,52,-16,-0.42,/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats
2021-2022,ENG-Premier League,2122,Arsenal,27,24.4,38,3420,90,100,38,418,85,304,110,17,232,1.82,61,48,13,0.34,/en/squads/18bb7c10/2021-2022/Arsenal-Stats
2021-2022,ENG-Premier League,2122,Aston Villa,31,26.1,38,3420,90,100,38,418,85,304,113,20,228,1.18,52,54,-2,-0.05,/en/squads/8602292d/2021-2022/Aston-Villa-Stats
2021-2022,ENG-Premier League,2122,Brentford,29,25.4,38,3420,90,100,38,418,84,304,114,22,223,1.21,48,56,-8,-0.21,/en/squads/cd051869/2021-2022/Brentford-Stats
2021-2022,ENG-Premier League,2122,Brighton,26,26.2,38,3420,90,100,38,418,84,308,111,22,231,1.34,42,44,-2,-0.05,/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
2021-2022,ENG-Premier League,2122,Burnley,23,28.5,38,3420,90,100,38,418,86,321,96,19,244,0.92,34,53,-19,-0.5,/en/squads/943e8050/2021-2022/Burnley-Stats
2021-2022,ENG-Premier League,2122,Chelsea,26,27.4,38,3420,90,100,38,418,84,306,111,22,226,1.95,76,33,43,1.13,/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
