season_label,team,gk_save_pct,gk_cs_pct,gk_ga90,top3_ga_per90,squad_age,squad_depth,team_tkl_per90,team_int_per90,team_discipline_per90,avg_on_off
2019-2020,Brighton,69.2,23.7,1.42,0.27,25.8154014345519,16.0,0.9213051823416508,0.9836852207293667,0.15595009596928985,0.14533333333333334
2019-2020,Burnley,72.0,39.5,1.32,0.56,27.49500265816055,14.0,0.8279492701603254,0.9069155300311078,0.16032543670734625,0.13999999999999999
2019-2020,Chelsea,55.0,24.2,1.42,1.15,24.859383306751727,18.0,0.8588516746411483,1.0717703349282297,0.14354066985645933,0.05411764705882355
2019-2020,Crystal Palace,72.5,28.6,1.2,0.59,28.735185234506087,17.0,0.9487302347867753,1.0685194058457117,0.16291327264015334,0.370625
2019-2020,Everton,63.9,23.7,1.47,1.16,25.093422103861517,17.0,1.0,0.9832134292565947,0.2038369304556355,-0.01125000000000001
2019-2020,Leicester City,73.8,34.2,1.08,0.94,25.63416711016498,14.0,1.0443113772455088,1.0131736526946107,0.1245508982035928,-0.12833333333333338
2019-2020,Liverpool,72.5,44.8,0.81,1.05,26.146762398617206,13.0,0.7701506816551064,0.8514709399665151,0.09806266443434584,0.13909090909090913
2019-2020,Manchester City,73.1,45.7,0.82,1.95,26.51723034247306,19.0,0.7247420206383489,0.8519318454523639,0.18238540916726662,0.10611111111111113
2019-2020,Manchester Utd,74.2,34.2,0.95,0.2,24.260313662945244,18.0,0.8058345289335248,0.891917742706839,0.1745576279292205,0.29714285714285715
2019-2020,Newcastle United,71.3,28.9,1.53,0.45,25.97489484053032,17.0,0.8628954937679769,0.9228187919463087,0.17976989453499517,0.28800000000000003
2019-2020,Norwich City,66.1,13.9,1.89,0.53,25.50414633495987,15.0,0.8973128598848368,0.935700575815739,0.1847408829174664,0.2373333333333333
2019-2020,Sheffield United,74.8,36.1,0.92,0.32000000000000006,26.490724722540122,14.0,0.9099616858237547,1.0057471264367817,0.16522988505747124,0.2666666666666667
2019-2020,Southampton,69.4,25.0,1.25,1.04,25.358199391253272,15.0,1.0064857074225317,0.9608455440787893,0.16094162863319722,0.29
2019-2020,Tottenham Hotspur,80.4,28.6,1.05,1.02,26.218875769610065,18.0,0.9954425521707844,0.8851043415687215,0.22307507795634446,0.12444444444444443
2019-2020,Watford,67.3,23.7,1.68,0.27,28.495071923281834,17.0,0.8659150875509714,0.9714559846485967,0.2134804509474694,0.07499999999999998
2019-2020,West Ham United,69.3,20.0,1.45,0.3,26.908447707202892,18.0,0.9695954033995691,1.0102944697151066,0.16040220253770648,0.2492857142857143
2019-2020,Wolves,68.8,34.2,1.05,0.8400000000000001,26.16286800882955,13.0,0.8736237434179034,1.0172331258975587,0.16036381043561515,0.12999999999999998
2020-2021,Arsenal,70.0,31.4,1.06,0.43,25.388326702800843,16.0,0.6322115384615384,0.8149038461538461,0.15384615384615385,-0.05812500000000001
2020-2021,Aston Villa,77.5,39.5,1.21,0.78,24.501385484386656,13.0,0.7000719251977943,0.9110525053943898,0.19899304723087988,0.6541666666666667
2020-2021,Brighton,72.5,37.0,1.0,0.18,25.168059399616777,15.0,0.8331338281062964,1.0174766578884367,0.16040220253770648,0.20857142857142857
2020-2021,Burnley,77.0,34.4,1.16,0.4,27.741626794258373,16.0,0.715311004784689,1.0215311004784688,0.11483253588516747,0.35500000000000004
2020-2021,Chelsea,70.5,51.6,0.82,0.93,25.41367635297254,19.0,0.8253358925143954,0.866122840690979,0.14395393474088294,0.09944444444444447
2020-2021,Crystal Palace,63.3,21.6,1.73,0.83,28.48901420439432,17.0,0.8905913334929374,0.9743835288484557,0.14843188891548956,0.004117647058823539
2020-2021,Everton,70.6,32.3,1.28,0.9299999999999999,25.87784574468085,16.0,0.9197604790419162,0.9293413173652695,0.15568862275449102,0.09125
2020-2021,Fulham,73.4,25.0,1.33,0.33,24.551716789643322,14.0,0.7983696955166626,1.0573004075761208,0.18221050107887796,0.5771428571428573
2020-2021,Leeds United,75.8,31.4,1.49,0.97,25.46505562356949,16.0,1.0323353293413176,0.9940119760479044,0.15329341317365272,0.3943749999999999
2020-2021,Leicester City,65.7,28.9,1.32,1.18,25.944763423710793,17.0,0.966507177033493,1.035885167464115,0.145933014354067,0.19285714285714287
2020-2021,Liverpool,74.5,30.3,0.97,1.27,26.25800106326422,14.0,0.746054519368723,0.8082257293161166,0.09564801530368244,-0.5457142857142857
2020-2021,Manchester City,75.3,52.8,0.78,0.76,25.72703510082151,18.0,0.6554621848739496,0.765906362545018,0.12484993997599039,0.17999999999999997
2020-2021,Manchester Utd,67.8,34.6,1.25,1.1400000000000001,25.067151263412946,17.0,0.7644380541576804,0.9393721543254254,0.16055595494847832,0.24733333333333335
2020-2021,Newcastle United,68.3,16.0,1.72,1.06,26.546321961620468,21.0,0.6884144878867834,0.8994962820820341,0.17750059966418807,0.04421052631578949
2020-2021,Sheffield United,70.7,13.2,1.66,0.12,26.186245194361383,17.0,0.8677884615384616,0.84375,0.1971153846153846,-0.058125
2020-2021,Southampton,64.6,23.3,1.9,0.74,26.147069034584057,15.0,1.026936026936027,0.9956709956709958,0.14670514670514673,0.3071428571428572
2020-2021,Tottenham Hotspur,76.5,31.6,1.18,2.02,26.67758749069248,17.0,0.8953794589418241,0.8259516399329662,0.15082595163993295,0.20769230769230768
2020-2021,West Brom,70.7,16.2,2.0,0.32,25.872784150156413,17.0,0.8066457982181556,1.0546592824464245,0.15169756802311585,0.06352941176470589
2020-2021,West Ham United,70.7,28.6,1.26,0.73,27.2590935719231,16.0,0.7045291157440691,1.0184519530313925,0.1413850946561227,0.21866666666666665
2020-2021,Wolves,69.0,27.0,1.38,0.29000000000000004,25.810388367580213,15.0,0.8209669698420298,1.0124461464815702,0.13882240306366683,0.04733333333333334
2021-2022,Arsenal,72.6,35.3,1.15,0.6900000000000001,23.944382142475703,16.0,0.7424315233061028,0.7160019221528112,0.18981259010091303,0.5675
2021-2022,Aston Villa,67.9,30.6,1.33,0.5,25.53996007984032,15.0,0.9010304337407142,0.7812125569134916,0.2084831056793674,0.8735714285714284
2021-2022,Brentford,77.2,33.3,1.13,0.8500000000000001,24.974054717081756,17.0,0.8087353011759059,0.9239260859131269,0.17758579313654907,-0.19
2021-2022,Brighton,72.1,29.7,1.14,0.47,25.66539832898728,18.0,0.9578544061302682,0.8333333333333333,0.1867816091954023,0.04999999999999998
2021-2022,Burnley,74.1,25.0,1.31,0.27,27.929953745547344,17.0,0.7729121799473557,0.9691313711414213,0.17707585546781526,0.03352941176470587
2021-2022,Chelsea,74.5,41.2,0.91,0.99,26.851572896151595,19.0,0.8596743295019156,0.8022030651340994,0.15804597701149423,-0.0488888888888889
2021-2022,Crystal Palace,73.5,36.7,1.12,0.23,26.540888037054785,17.0,0.898418782942022,0.8001916626736943,0.17249640632486823,0.1688235294117647
2021-2022,Everton,67.2,20.0,1.66,0.4,26.246692980584594,16.0,0.9692898272552785,0.8637236084452976,0.23992322456813822,0.17812500000000003
2021-2022,Leeds United,65.9,13.2,2.1,0.8,25.43251107907523,16.0,1.0745192307692308,0.918269230769231,0.2620192307692308,-0.5253333333333334
2021-2022,Leicester City,71.3,18.9,1.57,1.1099999999999999,25.898852777555962,20.0,0.9276126558005753,0.8581016299137105,0.13902205177372964,-0.1994444444444445
